Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
B,EXP_ABL_077_disable-mr-partial-inlining,3,3.002611,0.143268,453752,15,74,28,69,699,8
B,EXP_ABL_078_disable-partial-inlining,3,2.847939,0.133421,453752,15,74,28,69,699,8
B,EXP_ABL_079_disable-partial-libcall-inlining,3,2.851730,0.130906,453752,15,74,28,69,699,8
B,EXP_ABL_080_disable-peephole,3,2.809663,0.122861,454056,15,74,28,69,699,8
B,EXP_ABL_081_disable-post-ra,3,2.867609,0.121940,453752,15,74,28,69,699,8
B,EXP_ABL_082_disable-spill-fusing,3,2.709708,0.127904,453832,15,74,28,69,699,8
B,EXP_ABL_083_disable-strictnode-mutation,3,2.810107,0.190975,453752,15,74,28,69,699,8
B,EXP_DBL_0001,3,2.860814,0.127256,453752,15,74,28,69,699,8
B,EXP_DBL_0002,3,2.964066,0.135216,453752,15,74,28,69,699,8
B,EXP_DBL_0003,3,2.851232,0.106321,453752,15,74,28,69,699,8
B,EXP_DBL_0004,3,2.890728,0.118791,453752,15,74,28,69,699,8
B,EXP_DBL_0005,3,2.857967,0.130635,453752,15,74,28,69,699,8
B,EXP_DBL_0006,3,2.826073,0.138793,453752,15,74,28,69,699,8
B,EXP_DBL_0007,3,2.831037,0.147403,453752,15,74,28,69,699,8
B,EXP_DBL_0008,3,2.772569,0.143704,453752,15,74,28,69,699,8
B,EXP_DBL_0009,3,2.903311,0.117658,453752,15,74,28,69,699,8
B,EXP_DBL_000_BASELINE,3,2.796087,0.135440,453752,15,74,28,69,699,8
B,EXP_DBL_0010,3,3.112717,0.101911,453864,15,74,28,69,699,8
B,EXP_DBL_0011,3,2.770644,0.111933,453320,15,74,28,69,456,8
B,EXP_DBL_0012,3,2.929764,0.120353,453752,15,74,28,69,699,8
B,EXP_DBL_0013,3,2.351252,0.131263,453752,15,74,28,69,699,8
B,EXP_DBL_0014,3,2.661966,0.136705,453928,15,74,28,69,699,8
B,EXP_DBL_0015,3,2.853015,0.117331,453752,15,74,28,69,699,8
B,EXP_DBL_0016,3,2.747449,0.136305,453752,15,74,28,69,699,8
B,EXP_DBL_0017,3,2.833148,0.197743,453000,15,74,28,69,699,8
B,EXP_DBL_0018,3,2.881803,0.111655,453704,15,74,28,69,699,8
B,EXP_DBL_0019,3,2.854655,0.117644,453752,15,74,28,69,699,8
B,EXP_DBL_0020,3,2.827058,0.130689,453752,15,74,28,69,699,8
B,EXP_DBL_0021,3,2.810491,0.132448,453752,15,74,28,69,699,8
B,EXP_DBL_0022,3,2.854680,0.129391,453752,15,74,28,69,699,8
B,EXP_DBL_0023,3,2.053607,0.164104,453320,15,74,28,69,699,8
B,EXP_DBL_0024,3,2.808618,0.209898,453752,15,74,28,69,699,8
B,EXP_DBL_0025,3,2.827403,0.118852,453752,15,74,28,69,699,8
B,EXP_DBL_0026,3,2.779180,0.134074,453752,15,74,28,69,699,8
B,EXP_DBL_0027,3,2.853417,0.121897,453752,15,74,28,69,699,8
B,EXP_DBL_0028,3,2.757733,0.163752,453752,15,74,28,69,699,8
B,EXP_DBL_0029,3,2.887232,0.143832,453752,15,74,28,69,699,8
B,EXP_DBL_0030,3,2.932848,0.137551,453752,15,74,28,69,699,8
B,EXP_DBL_0031,3,2.808696,0.127331,453752,15,74,28,69,699,8
B,EXP_DBL_0032,3,2.821238,0.113224,453752,15,74,28,69,699,8
B,EXP_DBL_0033,3,2.802097,0.115693,453752,15,74,28,69,699,8
B,EXP_DBL_0034,3,2.786135,0.142632,453752,15,74,28,69,699,8
B,EXP_DBL_0035,3,2.999694,0.138490,453752,15,74,28,69,699,8
B,EXP_DBL_0036,3,2.801351,0.136163,453752,15,74,28,69,699,8
B,EXP_DBL_0037,3,3.019542,0.121758,453752,15,74,28,69,699,8
B,EXP_DBL_0038,3,2.946940,0.131986,453752,15,74,28,69,699,8
B,EXP_DBL_0039,3,2.980911,0.146563,453752,15,74,28,69,699,8
B,EXP_DBL_0040,3,2.985095,0.139492,453736,15,74,28,69,699,8
B,EXP_DBL_0041,3,2.778101,0.673201,453800,15,74,28,69,699,8
B,EXP_DBL_0042,3,2.864438,0.147052,453752,15,74,28,69,699,8
B,EXP_DBL_0043,3,2.885153,0.131785,453752,15,74,28,69,699,8
B,EXP_DBL_0044,3,2.846520,0.178691,453752,15,74,28,69,699,8
B,EXP_DBL_0045,3,2.958354,0.117527,453784,15,74,28,69,699,8
B,EXP_DBL_0046,3,2.513708,0.130440,453784,15,74,28,69,699,8
B,EXP_DBL_0047,3,3.011869,0.169735,453736,15,74,28,69,699,8
B,EXP_DBL_0048,3,2.906395,0.140718,453752,15,74,28,69,699,8
B,EXP_DBL_0049,3,2.767815,0.183404,453752,15,74,28,69,699,8
B,EXP_DBL_0050,3,2.085506,0.132043,453352,15,74,28,69,699,8
B,EXP_DBL_0051,3,2.879393,0.160072,453752,15,74,28,69,699,8
B,EXP_DBL_0052,3,2.841700,0.185054,453752,15,74,28,69,699,8
B,EXP_DBL_0053,3,2.888793,0.136665,453752,15,74,28,69,699,8
B,EXP_DBL_0054,3,2.388066,0.137019,453784,15,74,28,69,699,8
B,EXP_DBL_0055,3,2.840807,0.191256,453752,15,74,28,69,699,8
B,EXP_DBL_0056,3,2.829767,0.133477,453752,15,74,28,69,699,8
B,EXP_DBL_0057,3,2.838394,0.121651,453752,15,74,28,69,699,8
B,EXP_DBL_0058,3,2.840912,0.122099,453752,15,74,28,69,699,8
B,EXP_DBL_0059,3,2.856019,0.151874,453752,15,74,28,69,699,8
B,EXP_DBL_0060,3,2.771383,0.126310,453752,15,74,28,69,699,8
B,EXP_DBL_0061,3,2.831733,0.127331,453752,15,74,28,69,699,8
B,EXP_DBL_0062,3,2.908321,0.128446,453752,15,74,28,69,699,8
B,EXP_DBL_0063,3,2.836117,0.144873,453752,15,74,28,69,699,8
B,EXP_DBL_0064,3,2.653960,0.173112,453784,15,74,28,69,699,8
B,EXP_DBL_0065,3,2.891190,0.136585,453752,15,74,28,69,699,8
B,EXP_DBL_0066,3,2.884064,0.135824,453752,15,74,28,69,699,8
B,EXP_DBL_0067,3,2.986949,0.124436,453752,15,74,28,69,699,8
B,EXP_DBL_0068,3,3.423388,0.169576,453752,15,74,28,69,699,8
B,EXP_DBL_0069,3,3.891484,0.100706,453752,15,74,28,69,699,8
B,EXP_DBL_0070,3,3.452590,0.104822,453752,15,74,28,69,699,8
B,EXP_DBL_0071,3,2.843619,0.192787,453752,15,74,28,69,699,8
B,EXP_DBL_0072,3,2.925480,0.147046,453992,15,74,28,69,699,8
B,EXP_DBL_0073,3,2.822528,0.126956,453752,15,74,28,69,699,8
B,EXP_DBL_0074,3,2.900370,0.126101,453752,15,74,28,69,699,8
B,EXP_DBL_0075,3,2.778687,0.211878,453752,15,74,28,69,699,8
B,EXP_DBL_0076,3,2.855578,0.130124,453752,15,74,28,69,699,8
B,EXP_DBL_0077,3,2.885122,0.139878,453752,15,74,28,69,699,8
B,EXP_DBL_0078,3,2.886178,0.148897,453752,15,74,28,69,699,8
B,EXP_DBL_0079,3,2.814004,0.137061,453752,15,74,28,69,699,8
B,EXP_DBL_0080,3,2.865806,0.184200,454056,15,74,28,69,699,8
B,EXP_DBL_0081,3,2.873343,0.139908,453752,15,74,28,69,699,8
B,EXP_DBL_0082,3,2.609473,0.133681,453832,15,74,28,69,699,8
B,EXP_DBL_0083,3,2.840084,0.128140,453752,15,74,28,69,699,8
B,EXP_DBL_0084,3,2.911973,0.138342,453752,15,74,28,69,699,8
B,EXP_DBL_0085,3,2.817280,0.135635,453752,15,74,28,69,699,8
B,EXP_DBL_0086,3,2.858115,0.114914,453752,15,74,28,69,699,8
B,EXP_DBL_0087,3,2.957820,0.121976,453752,15,74,28,69,699,8
B,EXP_DBL_0088,3,2.859847,0.179193,453752,15,74,28,69,699,8
B,EXP_DBL_0089,3,3.413025,0.111469,453752,15,74,28,69,699,8
B,EXP_DBL_0090,3,3.536942,0.117697,453752,15,74,28,69,699,8
B,EXP_DBL_0091,3,2.858508,0.127605,453752,15,74,28,69,699,8
B,EXP_DBL_0092,3,2.844483,0.129496,453752,15,74,28,69,699,8
B,EXP_DBL_0093,3,3.225621,0.116025,453864,15,74,28,69,699,8
B,EXP_DBL_0094,3,2.753894,0.167862,453320,15,74,28,69,456,8
B,EXP_DBL_0095,3,2.786452,0.138614,453752,15,74,28,69,699,8
B,EXP_DBL_0096,3,2.296017,0.131580,453752,15,74,28,69,699,8
B,EXP_DBL_0097,3,2.661079,0.138277,453928,15,74,28,69,699,8
B,EXP_DBL_0098,3,2.850095,0.120743,453752,15,74,28,69,699,8
B,EXP_DBL_0099,3,2.796671,0.153768,453752,15,74,28,69,699,8
B,EXP_DBL_0100,3,2.792022,0.123219,453000,15,74,28,69,699,8
B,EXP_DBL_0101,3,2.782120,0.126683,453704,15,74,28,69,699,8
B,EXP_DBL_0102,3,2.857898,0.145869,453752,15,74,28,69,699,8
B,EXP_DBL_0103,3,2.790081,0.142626,453752,15,74,28,69,699,8
B,EXP_DBL_0104,3,2.899071,0.135125,453752,15,74,28,69,699,8
B,EXP_DBL_0105,3,2.875884,0.140882,453752,15,74,28,69,699,8
B,EXP_DBL_0106,3,2.064380,0.137730,453320,15,74,28,69,699,8
B,EXP_DBL_0107,3,2.859503,0.129426,453752,15,74,28,69,699,8
B,EXP_DBL_0108,3,2.753123,0.134782,453752,15,74,28,69,699,8
B,EXP_DBL_0109,3,2.810841,0.131137,453752,15,74,28,69,699,8
B,EXP_DBL_0110,3,2.802368,0.145287,453752,15,74,28,69,699,8
B,EXP_DBL_0111,3,2.795671,0.137906,453752,15,74,28,69,699,8
B,EXP_DBL_0112,3,2.807230,0.122869,453752,15,74,28,69,699,8
B,EXP_DBL_0113,3,2.807045,0.131247,453752,15,74,28,69,699,8
B,EXP_DBL_0114,3,2.915748,0.125796,453752,15,74,28,69,699,8
B,EXP_DBL_0115,3,3.047501,0.130053,453752,15,74,28,69,699,8
B,EXP_DBL_0116,3,3.473564,0.110444,453752,15,74,28,69,699,8
B,EXP_DBL_0117,3,3.265471,0.129560,453752,15,74,28,69,699,8
B,EXP_DBL_0118,3,2.854387,0.142391,453752,15,74,28,69,699,8
B,EXP_DBL_0119,3,2.839965,0.141663,453752,15,74,28,69,699,8
B,EXP_DBL_0120,3,2.992000,0.111227,453752,15,74,28,69,699,8
B,EXP_DBL_0121,3,2.928003,0.151923,453752,15,74,28,69,699,8
B,EXP_DBL_0122,3,2.888244,0.159873,453752,15,74,28,69,699,8
B,EXP_DBL_0123,3,2.945040,0.184548,453736,15,74,28,69,699,8
B,EXP_DBL_0124,3,2.733078,0.146988,453800,15,74,28,69,699,8
B,EXP_DBL_0125,3,2.838274,0.154316,453752,15,74,28,69,699,8
B,EXP_DBL_0126,3,2.902835,0.141678,453752,15,74,28,69,699,8
B,EXP_DBL_0127,3,2.817989,0.139512,453752,15,74,28,69,699,8
B,EXP_DBL_0128,3,2.938799,0.131597,453784,15,74,28,69,699,8
B,EXP_DBL_0129,3,2.872656,0.150849,453784,15,74,28,69,699,8
B,EXP_DBL_0130,3,3.272297,0.120016,453736,15,74,28,69,699,8
B,EXP_DBL_0131,3,3.370240,0.118195,453752,15,74,28,69,699,8
B,EXP_DBL_0132,3,3.529415,0.179957,453752,15,74,28,69,699,8
B,EXP_DBL_0133,3,2.078516,0.106349,453352,15,74,28,69,699,8
B,EXP_DBL_0134,3,2.952988,0.134946,453752,15,74,28,69,699,8
B,EXP_DBL_0135,3,2.809655,0.163871,453752,15,74,28,69,699,8
B,EXP_DBL_0136,3,2.918919,0.149059,453752,15,74,28,69,699,8
B,EXP_DBL_0137,3,2.554399,0.129754,453784,15,74,28,69,699,8
B,EXP_DBL_0138,3,2.893075,0.124556,453752,15,74,28,69,699,8
B,EXP_DBL_0139,3,2.749847,0.182300,453752,15,74,28,69,699,8
B,EXP_DBL_0140,3,2.834379,0.140638,453752,15,74,28,69,699,8
B,EXP_DBL_0141,3,2.846407,0.138067,453752,15,74,28,69,699,8
B,EXP_DBL_0142,3,2.800483,0.137910,453752,15,74,28,69,699,8
B,EXP_DBL_0143,3,2.839961,0.136170,453752,15,74,28,69,699,8
B,EXP_DBL_0144,3,2.794950,0.169652,453752,15,74,28,69,699,8
B,EXP_DBL_0145,3,2.864735,0.143350,453752,15,74,28,69,699,8
B,EXP_DBL_0146,3,2.851507,0.133286,453752,15,74,28,69,699,8
B,EXP_DBL_0147,3,2.645936,0.140240,453784,15,74,28,69,699,8
B,EXP_DBL_0148,3,2.853108,0.125397,453752,15,74,28,69,699,8
B,EXP_DBL_0149,3,2.858852,0.136845,453752,15,74,28,69,699,8
B,EXP_DBL_0150,3,2.814526,0.207743,453752,15,74,28,69,699,8
B,EXP_DBL_0151,3,2.877840,0.120182,453752,15,74,28,69,699,8
B,EXP_DBL_0152,3,2.803191,0.117272,453752,15,74,28,69,699,8
B,EXP_DBL_0153,3,2.850195,0.116602,453752,15,74,28,69,699,8
