Source,Target,Type,Weight,Stability
UnreachablePropagation,dfa-sched,Interaction,-0.1468181949922966,0.5
UnreachablePropagation,peephole,Interaction,-0.146149232806855,0.5
ScalarReplacementOfAggregates,loop-idiom-vectorize-bytecmp,Interaction,-0.1451941818477409,0.5
UnreachablePropagation,separate-const-offset-from-gep,Interaction,-0.1440672900592146,0.5
UnreachablePropagation,nounwind-inference,Interaction,-0.1439726150276863,0.5
Inline,cgp-gc-opts,Interaction,0.1395858388185824,0.5
UnreachablePropagation,cgdata-for-merging,Interaction,-0.1389492036828494,0.5
UnreachablePropagation,cfi-fixup,Interaction,-0.1388680156215973,0.5
ReferencePropagation,ssc,Interaction,-0.1385645351411879,0.5
UnreachablePropagation,phi-elim-edge-splitting,Interaction,-0.1383275258221439,0.5
UnreachablePropagation,preinline,Interaction,-0.137991743945498,0.5
UnreachablePropagation,non-allocatable-phys-copy-opt,Interaction,-0.1343260286960887,0.5
UnreachablePropagation,mergeicmps,Interaction,-0.1342953809769174,0.5
UnreachablePropagation,machine-sink,Interaction,-0.1328243335861807,0.5
UnreachablePropagation,postra-machine-sink,Interaction,-0.1308491183069633,0.5
EnumSizeOpt,promote-alloca-to-vector,Interaction,-0.1298400244283954,0.5
UnreachablePropagation,select-optimize,Interaction,-0.1287734201850954,0.5
ReferencePropagation,cgp-delete-phis,Interaction,-0.1281067673188629,0.5
MatchBranchSimplification,vp,Interaction,-0.1277582781785757,0.5
ReferencePropagation,auto-upgrade-debug-info,Interaction,-0.1273953548216209,0.5
ScalarReplacementOfAggregates,advanced-peeling,Interaction,-0.1269797359203233,0.5
UnreachablePropagation,bitcode-version-upgrade,Interaction,-0.1268199143091526,0.5
UnreachablePropagation,cgp,Interaction,-0.1248964040394624,0.5
ScalarReplacementOfAggregates,loop-idiom-vectorize-all,Interaction,-0.1245222693990015,0.5
Inline,auto-upgrade-debug-info,Interaction,0.1241869777319428,0.5
ReferencePropagation,demotion,Interaction,-0.1240919069015564,0.5
UnreachablePropagation,adv-copy-opt,Interaction,-0.1225606900521114,0.5
ScalarReplacementOfAggregates,ifcvt-simple,Interaction,-0.1221170415765762,0.5
DestinationPropagation,ondemand-mds-loading,Interaction,-0.1183964895314297,0.5
